name,version
glibc,2.3
glibc,2.2.5
glibc,2.2.6
glibc,2.3.2
glibc,2.3.3
glibc,2.3.4
glibc,2.4
glibc,2.5
glibc,2.6
glibc,2.7
glibc,2.8
glibc,2.9
glibc,2.10
glibc,2.11
glibc,2.12
glibc,2.13
glibc,2.14
glibc,2.15
glibc,2.16
glibc,2.17
glibc,2.18
glibc,2.22
glibc,2.23
glibc,2.24
glibc,2.25
glibc,2.26
glibc,2.27
glibc,2.28
glibc,2.29
glibc,2.30
xz,5.0
idn2,0.0.0
xcrypt,2.0
xcrypt,4.4
libpam,1.0
cryptsetup,2.0
acl,1.0
libkmod,5
mount,2.19
blkid,2.18
blkid,2.17
blkid,2.15
gcrypt,1.6
blkid,1.0
mount,2.20
mount,2.21
mount,2.22
mount,2.23
mount,2.24
mount,2.25
mount,2.26
mount,2.28
mount,2.30
mount,2.33
mount,2.34
openssl,1
libkmod,6
libkmod,22
immunix,1.0
apparmor,1.0
apparmor,1.1
apparmor,2.9
apparmor,2.10
apparmor,2.11
apparmor,2.13
apparmor,2.13.1
acl,1.1
acl,1.2
blkid,2.20
blkid,2.21
blkid,2.23
blkid,2.25
blkid,2.30
blkid,2
xcrypt,4.3
uuid,1.0
dm,1
idn2,2.1.0
xz,5.2
glibc,2.31
uuid,2.20
uuid,2.31
libudev,183
libudev,189
libudev,196
libudev,199
libudev,215
